item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	optional-payment-type-exclusion	status	maximum-retail-price
AMI 3D Pegasus Silicone Mold Horse Fondant Molds Sugarcraft Cake Decorating Tools Soap Fimo Clay Moulds	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of vaseline or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Cratial curve LLP, India. Made in India	0508YNI89RR	5Y-75NL-VZCB	245	4	2021-05-08 18:27:59 IST		y	1			11				B0823KF9RG						B0823KF9RG			0	DEFAULT		Active	400.0
AER Cock Silicone Mold Chicken Fondant Molds Wax Resin Clay Candy Chocolate Gumpaste Mould Sugarcraft Cake Decorating	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	0621ZCQYSEF	5Y-RT9O-NG1J	119	2	2022-06-21 14:29:30 IST		y	1			11				B0B4NV7X1T						B0B4NV7X1T			0	DEFAULT		Active	200.0
Any 1pc Ancient Roman Column Silicone Resin Molds Fondant Moulds Cake Decorating Tools Cake Molds, Kitchen Accessories	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Cratial curve LLP, India. Made in India	0504YE7Z5ME	61-EFLE-FF20	500	2	2021-05-04 14:26:35 IST		y	1			11				B0943RPW88						B0943RPW88			0	DEFAULT		Active	600.0
ANN Elephant Pair Decoration Pattern Silicone Mold DIY soap Resin Cement Flexible and Reusable Silicone Mold	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	0720YQ7S5O5	62-C77Z-20PA	299	2	2021-07-20 18:01:00 IST		y	1			11				B099X3GSCD						B099X3GSCD			0	DEFAULT		Active	700.0
AJR Flower Frame Silicone Mold for Fondant, Chocolate, Crafts Sugarcraft Cake Decorating Mold		1105YJ2CSSP	63-JJYP-EP7T	157	3	2021-11-05 17:52:27 IST		y	1			11				B0858ZH4W3						B0858ZH4W3			0	DEFAULT		Active	300.0
AIU Peacock Feather Silicone Mold DIY Jewelry Cupcake Topper Fondant Cake Decorating Tools Candy Fimo Clay Chocolate Gumpaste Mould		1105YJ1K3RS	64-E2QM-2U3E	128	3	2021-11-05 18:53:19 IST		y	1			11				B084G5GXFG						B084G5GXFG			0	DEFAULT		Active	240.0
AIL Bird Leaves Pair Pattern Silicone Mold DIY Chocolate soap Resin Cement Frame Flexible and Reusable Mold	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	0719YO9ERYV	65-71V9-SFGX	299	2	2021-07-19 19:25:32 IST		y	1			11				B099SD19TK						B099SD19TK			0	DEFAULT		Active	700.0
AMC Bunny Silicone Cupcake DIY Art Multipurpose Clay, Resin, Sugar, Cement Mould (3D Rabbit)		1105YJ6AYQV	67-658U-2MLM	285	4	2021-11-05 18:58:56 IST		y	1			11				B08M62MWKN						B08M62MWKN			0	DEFAULT		Active	400.0
ALO Tree Leaf Press Molding Foil Mold Silicone Mold Cake Decor Fondant Cake 3D Leaves Silicone Mould		1112YVEV7WF	69-DB82-B6OI	260	3	2021-11-12 13:07:13 IST		y	1			11				B0829TPYR7						B0829TPYR7			0	DEFAULT		Active	500.0
AAR 3D Bee Honeycomb Candle Silicone Molds Beehive Mold for Homemade Beeswax Candle Soap Crayon Wax Melt Hives Candle Making Supplie	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Cratial curve LLP, India. Made in India	0507YLB9O27	6I-BLFD-VSXV	484	1	2021-05-07 17:18:36 IST		y	1			11				B094DH78PD						B094DH78PD			0	DEFAULT		Active	1200.0
